Overall Rating,Comments,Feedback Category
Very Satisfied,Great! Super easy process,Thanks/Praise
Very Satisfied,The survey popped up before I could submit my order.,Website- Survey Pop Up Issue
Satisfied,Costly but good selection,Price
Very Satisfied,"I was a little confused at first because I just went into Scholastic and I could not find the items that are in the flyer the kids get at school, I then realized that I had to go to the book club site.",Website- General Comment/Navigation
Satisfied,"Scholastic should automatically apply the coupons you email teachers, instead of relying on us to remember them a month later.  Also, if I enter an order at 9:30pm~ish California time - since I teach in California - on August 31st, it should not say that I entered the order on September 1st, since your incentives all end monthly so I make a point of entering my orders on the last day of each month.",Price
Very Satisfied,Placing an order,All Other
Very Satisfied,"Love the selection. Noticed prices are increasing, though, which is a little disappointing. Would really like for books to be shipped home, rather than to school. I often order a lot of books for my child and the teacher will sometimes miss some items when passing them out.",Price
Very Disappointed,reset password does not work.,Website- General Comment/Navigation
Neutral,"I am using the email that Scholastic emailed me with, trying to sign in  and it says we don’t recognize this email address, please try again?  It has been a while since I have placed an order but this is the email address that I receive Scholastic emails from.",Website- General Comment/Navigation
Very Satisfied,Great books for kids..,Thanks/Praise
Satisfied,Please add the actual classroom book fairs to your homepage once you login if I login to shop it sometimes is difficult to find the way to add to cart for each child.,Website- General Comment/Navigation
Disappointed,Poor website screen size transitioning. Website itself does not correct formatting for varying screen sizes.,Website- General Comment/Navigation
Very Satisfied,"Still browsing, your site is great, thank you.",Thanks/Praise
Satisfied,Kind of difficult to navigate,Website- General Comment/Navigation
Neutral,hard to find what I'm looking for in reference to the e-wallet account,Account Balance/Payment
Very Satisfied,Me encanta 😍💖 este momento de comprar libros para mi niña,All Other
Neutral,Not many filtering options for searches,Website- Filter/Search Options
Very Satisfied,great value!,Thanks/Praise
Very Satisfied,I love ordering books and have used Scholastics for years. I have orders hundreds of books and will continue ordering!,Thanks/Praise
Very Satisfied,Great website to order from for my daughter's class!,Thanks/Praise
Satisfied,I would buy more if there were art type books such as teaching drawing.,Products Offered/ Availability
Neutral,Browsing on mobile is not great.,Website- Mobile Compatability
Very Satisfied,I was wondering when will I get the paper copies of the book order flyers?,Kits
Neutral,The mobile site had some glitches. When I tried to add a second child the drop box for the birth year froze and I had to back out and go again. We managed but it took longer,Website- Mobile Compatability
Very Satisfied,Site was VERY easy to navigate and I love the simple add button for the booklet codes to add to cart. Also the free book drove me to enter the order online and I forgot to enter the code. READS for Order# 69847648 - Jennifer Jackson,Thanks/Praise
Very Satisfied,I have been satisfied and excited to use Scholastic every year!,Thanks/Praise
Very Satisfied,"Easy to use, well organized, flows well.",Thanks/Praise
Very Satisfied,I was looking information to see if you will continue offering Home dellivery like the last 2 years or not and couldn't find the answer.,All Other
Satisfied,the $1.00 options that open up when you reach the amount...    There needs to be more chapter book selections for older readers.  I am a 5th grade reading teacher looking for adding books to my class library and was disappointed of the limited options.  The majority were early elementary options.     This is an awesome opportunity as a teacher to get books for our libraries or as gifts.  It would be nice to have a larger selection.,Products Offered/ Availability
Satisfied,"When I'm buying a pack of books I would like to know the titles in the pack as well as the number in the series. For example, Diary of a Pug 6-pack doesn't tell me if it's #1-6. Also Pug's Road Trip is sold separately but I don't know what number in the series it is.",Products Offered/ Availability
Very Satisfied,Didnt have any Ameila Bedelia Books,Products Offered/ Availability
Very Satisfied,Lately I just haven't gotten kids/parents to purchase books.  I don't know why this trend is happening.,All Other
Very Satisfied,all good!,Thanks/Praise
Very Satisfied,Come a long way from when I was in elementary school! Very excited for my kids to experience those same feelings.,Thanks/Praise
Satisfied,I struggled finding where to enter my students. I wish it was more accessible right away when going to the website.,Website- General Comment/Navigation
Neutral,"Site is not super intuitive  -- my child is in 2nd grade and when we click to visit books for 2nd grade, after choosing a book to preview, it takes us back to the main menu instead of a menu for his age group.",Website- General Comment/Navigation
Very Satisfied,"I found what I was searching for, but I must say I wish  it had been more convenient to do so. It may have been based on the fact it was my first visit back to your site this school year. I love SCHOLASTIC BOOKS, so please know your service is always wonderful!!!",Website- Filter/Search Options
Very Satisfied,Love the site...,Thanks/Praise
Disappointed,Confusing to figure out how to get started when you have a classroom code. Not clear that I had to go to book clubs and connect to the teacher.,Connecting Teacher/Class Code
Neutral,"It can be hard to search within the system for books. It would be great to have recommendations for each child, teacher recommendations, or best books for the grade easier to find under the club page.",Website- Filter/Search Options
Very Satisfied,I'm going to complete my order after school with my grandson!,Intend To Order in Future
Satisfied,it was a little hard to navigate whether my purchase was for my daughter or for my classroom.,Website- General Comment/Navigation
Very Satisfied,Helpful site,Thanks/Praise
Satisfied,"I found it very hard to find my children’s teachers. I already had an account with my kids names in it, but it was very hard to find how to link each child with their teacher.",Connecting Teacher/Class Code
Satisfied,ITEM NUMBERS WOULD NOT GO IN HAD TO GO BY TITLE,Website- Filter/Search Options
Neutral,It would be helpful to have a link directly to our child’s w-wallet. I made one and added money and then my mother was adding money as well. I got an emails saying she set up an e-wallet also. I was trying to make sure it all went to the same place so my daughter can shop easily at school.,Account Balance/Payment
Very Satisfied,Great selection,Thanks/Praise
Neutral,This survey was pushed before I completed my order. The site is not super intuitive.,Website- Survey Pop Up Issue
Satisfied,Always easy to use!,Thanks/Praise
Satisfied,It was smooth as I registered for the first time,Thanks/Praise
Satisfied,Maybe add a place to add more children under the account,Website- General Comment/Navigation
Satisfied,My debit card was used through PayPal instead of my credit card.  I'm not sure how that happened. My credit card is always the first option for my PayPal.,Account Balance/Payment
Very Satisfied,Pretty quick and easy ordering tool.,Thanks/Praise
Disappointed,I couldn't find any of the books I was looking for.  Your Hispanic Heritage Month and Spanish book selection is extremely limited.,Products Offered/ Availability
