WeekOf,OverallRating,Comments,FeedbackCategory
7/14/2022,Very Satisfied,Scolastic is Excellent in EVERY WAY.,Thanks/Praise
7/14/2022,Very Satisfied,It was the easiest time I have ever had using the book club site.  Thank you for making it easy for me to find info and place my order using bonus points.,Thanks/Praise
7/14/2022,Neutral,Prices went up.,Price
7/14/2022,Very Satisfied,Wish I could buy points to buy more teacher items. Also need better customer service on how to make sure my orders come to my school on time. Last year it took three months to get my order.,Hopeful Shipping Improves this Year
7/14/2022,Very Disappointed,I tried to send a referral link to my daughter's work email. She has her own classroom this next school year. It kept saying that it couldn't be sent. Her email address is roberta.murph@risd.org.  Maybe you could help. She could really use it.,Website Performance/Navigation
7/14/2022,Satisfied,"I was disappointed that I placed an order over $120, but I was unable to use the Dollar Store. I could have waited until August 1st, but I was afraid I would lose the deals I had found during my visit.  Also, my free books plus money to spend appeared and then disappeared. I am not sure why.",Bonus Points/Rewards/Promos
7/14/2022,Satisfied,"I am disappointed that your selections online had no results for searches like ""Christian"" (other than an author), ""Jesus"" or ""prayer"". You used to have a t least a small selection of ""religious"" books online.",Products Offered/Availability
7/14/2022,Satisfied,"Once I entered my order it prompted me and said I had 2 rewards. One free 5 pack of books and $10 to spend right now.  However, when I clicked both links to choose my selections it only brought me to blank pages so I never go to select my rewards.",Bonus Points/Rewards/Promos
7/14/2022,Very Disappointed,Problems ordering books with code,Bonus Points/Rewards/Promos
7/14/2022,Neutral,I am an international user. The Book Club seems to be available only for US residents.,All Other
7/14/2022,Very Satisfied,I had a great experience here today. Last school year I stopped with Scholastic orders because there were so many shipping issues and delays. I am excited to try again this school year. I understand that because of COVID it has been hard for many companies to get started at their previous work load so hopefully now all the kinks are worked out.,Hopeful Shipping Improves this Year
7/14/2022,Satisfied,As a teacher I really miss the $1 books on the fliers!!,Price
7/14/2022,Disappointed,Teacher's name not on list. This is her first year teaching and I wanted to buy her some books for her classroom. I'm her grandmother.,Connecting Teacher/Class Code
7/14/2022,Very Satisfied,EASY time placing an order!!!!!,Thanks/Praise
7/14/2022,Satisfied,"I had to adjust using my points to complete my order. I thought I had enough to use on another book set, but I did not. Hence, once at payment, I had to go all the way back to the cart to re-adjust how I distributed the points.  I wish it would automatically apply points so I can get the best deal.",Bonus Points/Rewards/Promos
7/14/2022,Disappointed,I feel like I have two separate accounts with the same login information because I find it difficult to shop and earn points.,Bonus Points/Rewards/Promos
7/14/2022,Neutral,I don’t have a teacher code and it will not let me order books for my two boys one who is 1 turn 2soon and my 14 year old,Connecting Teacher/Class Code
7/14/2022,Satisfied,"Once you have an account everything is easy, setting up an account was difficult.",Website Performance/Navigation
7/14/2022,Neutral,"I love scholastic book club, I enjoy browsing and shopping for cute and educational book choices for my son... I can't wait to see what new books to buy and browse next.",Thanks/Praise
7/14/2022,Very Satisfied,"Finding the dollar books was easy, check out was easy, and every part of ordering was a breeze! Loved the free shipping as well!",Thanks/Praise
7/14/2022,Neutral,It is hard to find what I need and see new books.,Website Filter/Search Options
7/14/2022,Disappointed,"the selection of award winning and traditional books on this website and offered by scholastic at this time is very disappointing.  unfortunately, the woke nature of all of the material offered makes it difficult for parochial school teachers to get the materials we need and my school will not allow me to send book orders home at this time.",Products Offered/Availability
7/14/2022,Very Satisfied,"I like the variety of books, and navigating the website is pretty easy.",Thanks/Praise
7/14/2022,Very Satisfied,Love getting books from here! It would be great if we could search by type of book such as nonfiction. My students always love getting books from here!,Website Filter/Search Options
7/14/2022,Neutral,Please offer free shipping to  home.,Ship to Home
7/14/2022,Satisfied,Many of the books I wanted to order were no longer available.,Products Offered/Availability
7/14/2022,Very Satisfied,I love that we can get 10 books for $10. That's always what I get so I can give my kids a book a month.,Thanks/Praise
7/14/2022,Neutral,"I wish there was a way to view ""all picture books"" or ""all chapter books. If there is a way, I have not been able to figure it out.",Website Filter/Search Options
7/14/2022,Very Satisfied,Where is the fall/Halloween section. Nothing comes up...,Products Offered/Availability
7/14/2022,Neutral,I'm hoping that since all the craziness of last year everything is back to normal and I will start getting my stuff in a timely manner again.   I love having the points to put towards free books for my classroom.,Hopeful Shipping Improves this Year
7/14/2022,Satisfied,Last year I did not continue to share order forms with my families due to shipping wait time.,Hopeful Shipping Improves this Year
