Overall Rating,Comments,Feedback Category
Very Satisfied,Completed from my mobile app and works very well.,Thanks/Praise
Disappointed,I was able to order but I am not allowed to send emails to parents so I tried to get flyers and never received any so I was not able to order for my students last year.,All Other
Very Satisfied,Very easy to find books. Everything was made east.,Thanks/Praise
Satisfied,I signed in twice.,All Other
Very Satisfied,It was easy creating an account,Thanks/Praise
Very Satisfied,There were so many books to choose from and were age appropriate . There absolutely is something for everyone.,Thanks/Praise
Disappointed,"There's a promotion where we as teachers can purchase a six pack of Kindness A to Z alphabet books for $7 that my friend told me about, but it's not available on the website. there's barely any hardcover option and it's often cheaper to just get the used hardcover on Amazon than the new paperback through Scholastic.",All Other
Disappointed,"Each and every time I click a new flyer, a separate tutorial wizard pops up.  Can't the site remember my choices for five minutes or at least mark that I've already done the silly thing once during this visit and don't need a refresher?    Once I zoom in on a book to read its page preview, the X button to click out of that book disappears, so I have to use the back arrow which kicks me out of the flyer I'm trying to shop.  Just bring me back to the normal view of the flyer, like a normal website.",Website Performance/Page Design
Disappointed,"Also, most of these books are same price or more expensive than Amazon.  Certain books are still easier to find on here, but there's barely any hardcover option and it's often cheaper to just get the used hardcover on Amazon than the new paperback through Scholastic.",All Other
Very Satisfied,Easy to navigate site.,Thanks/Praise
Very Satisfied,Easy to use!,Thanks/Praise
Very Disappointed,Won't let me register,Website Performance/Page Design
Very Satisfied,Great and fast,Thanks/Praise
Neutral,"I searched for books about past presidents, founding of the country etc, US history in general, there are none.",All Other
Satisfied,Site is fine.  I like that it saves your place because there is a lot of going back in the navigation.  I also like the favorites feature and the recommended books feature.,Thanks/Praise
Satisfied,Looking for Lit Sets (multiple copies of the same book but haven't found the groups yet),All Other
Neutral,don't have what I want looking,All Other
Neutral,I had difficulty logging into parents portal and book clubs.  The items In my cart were inconsistent.  My shopping cart should remain the same when logged in my account. It was harder to search for books using the item number  in the parent portal vs being signed in the book clubs. You should be able to sign in single account and your shopping cart be the same.,Website Performance/Page Design
Satisfied,"The reading levels popup was difficult to close, so going ""back"" cycled through.",Website Performance/Page Design
Very Satisfied,Easy to add books to  our order using flyer item codes! Also loved the free book promo and how easy it was to select an eligible book from the grade level list provided!,Thanks/Praise
Very Satisfied,Very easy and quick,Thanks/Praise
Neutral,Navigating the website is not concise and remains challenging.,Website Performance/Page Design
Neutral,Can’t confirm on free book,All Other
Disappointed,Not easy to navigate. Kept getting kicked off when I attempted to navigate.,Website Performance/Page Design
Neutral,A LITTLE TROUBLE WITH COUPONS... WHERE CAN I GET COUPON CODES THAT WORK FROM THE BOOK CLUB?,All Other
Satisfied,Love Scholastic.  No reason to complain,Thanks/Praise
Very Satisfied,Economical way to build a home and school library!!!,Thanks/Praise
Very Satisfied,"Easy to use, quick to complete.  It would be nice to be able to donate to the kids' classroom, though.",Thanks/Praise
Satisfied,Some items were not available.,All Other
Very Satisfied,I haven’t checked out yet. It took me to the survey,Website Performance/Page Design
Very Satisfied,Reading is good!,Thanks/Praise
Very Satisfied,Super easy to sign up and search by grades.,Thanks/Praise
Very Satisfied,We bought books at our son’s book fair today and I wanted to look into seeing what other books are offered so I can build a wide variety of books for my children at home and to look into books for my son’s teacher. I can’t wait to do more shopping on the website!,Thanks/Praise
Satisfied,Was unable to go back and edit Childs name to include child’s last name,Website Performance/Page Design
Disappointed,I am still upset with Scholastic over the complications from last year. There are still books that I ordered that I never got sent to me.,All Other
Satisfied,"had to call scholastic to see why items were not showing up in my cart that parents had ordered, great customer service checked it out and fixed issue. Thanks.",Thanks/Praise
Very Satisfied,It was easy and the website is very user-friendly.,Thanks/Praise
Very Disappointed,"I almost didn't bother getting on bc I have tried to order from Scholastic in past years and I always get frustrated with the site and end up not ordering.  Actually, I usually end up going to Barnes and Noble or Amazon to buy instead even though I didn't have any intention of buying a book necessarily until after I failed on Scholastic.  Your site is TERRIBLE to use and has been for years.  There is literally not one book that shows up under young adult and you can't browse for books.  You have what's recommended by Scholastic and anything else is a nightmare to find.  You basically have to have a book in mind and then check and see if that author or title is listed.  It is not user friendly at all.",All Other
Disappointed,"Very confusing to navigate and is usually a frustrating, knot in your stomach experience.  I'm happiest when I can finally hit the ""submit"" button.",Website Performance/Page Design
Very Satisfied,Fast and easy to use!,Thanks/Praise
Satisfied,I enjoy ordering books online for her classroom. I save some money and the books easily get delivered to her teacher.,Thanks/Praise
Neutral,Not sure how to order paper flyers to send home with students,All Other
Neutral,I could not find where I can request book order sheets to be sent.,All Other
Satisfied,I enjoyed browsing books for my grandchild.,Thanks/Praise
Very Satisfied,Survey popped up before I was able to look and browse at what is on sale for class sets of books.,Website Performance/Page Design
Satisfied,Fast and easy,Thanks/Praise
Satisfied,everything worked well,Thanks/Praise
Satisfied,I didn't see a place to enter a class code QQ38V,All Other
Neutral,Love that this was my favorite thing as a child and it’s still around for my son to enjoy!,Thanks/Praise
Disappointed,"I have been placing orders online from your website for years.  It is very hard to maneuver and find the right section of your website to place a classroom order.  It is never clear exactly where I need to be to place the classroom order.  I would recommend Scholastic Book Clubs, but tell them the website is confusing.",Website Performance/Page Design
Very Satisfied,I was impressed with the browse experience of your site and with the shop by Flyer view. Well done!,Thanks/Praise
Neutral,Better browsing would be nice,Website Performance/Page Design
Satisfied,Super easy,Thanks/Praise
Very Satisfied,I love Scholastic and used it as a child as well,Thanks/Praise
Neutral,Teachers not being available makes it difficult to send books for my student.,All Other
